,Report_Date,China_shandong_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,18.320314856643098,386.1476370372944,True,1,50.9466112593001,772.2771950115199
1,2020-01-23,6,18.320314856643098,386.1476370372944,True,2,58.729907805265384,772.2771950115199
2,2020-01-24,15,18.320314856643098,386.1476370372944,True,3,67.59086866475813,772.2771950115199
3,2020-01-25,27,18.320314856643098,386.1476370372944,True,4,77.64327032890446,772.2771950115199
4,2020-01-26,46,18.320314856643098,386.1476370372944,True,5,89.00188974120611,772.2771950115199
5,2020-01-27,75,18.320314856643098,386.1476370372944,True,6,101.77872345900106,772.2771950115199
6,2020-01-28,95,18.320314856643098,386.1476370372944,True,7,116.07816451049362,772.2771950115199
7,2020-01-29,130,18.320314856643098,386.1476370372944,True,8,131.99113845621366,772.2771950115199
8,2020-01-30,158,18.320314856643098,386.1476370372944,True,9,149.58831561166565,772.2771950115199
9,2020-01-31,184,18.320314856643098,386.1476370372944,True,10,168.91266897635572,772.2771950115199
10,2020-02-01,206,18.320314856643098,386.1476370372944,True,11,189.9718274968494,772.2771950115199
11,2020-02-02,230,18.320314856643098,386.1476370372944,True,12,212.73086023095362,772.2771950115199
12,2020-02-03,259,18.320314856643098,386.1476370372944,True,13,237.1062842561915,772.2771950115199
13,2020-02-04,275,18.320314856643098,386.1476370372944,True,14,262.96217347751235,772.2771950115199
14,2020-02-05,307,18.320314856643098,386.1476370372944,True,15,290.1092112168942,772.2771950115199
15,2020-02-06,347,18.320314856643098,386.1476370372944,True,16,318.307343161962,772.2771950115199
16,2020-02-07,386,18.320314856643098,386.1476370372944,True,17,347.2723431172687,772.2771950115199
17,2020-02-08,416,18.320314856643098,386.1476370372944,True,18,376.6861356641967,772.2771950115199
18,2020-02-09,444,18.320314856643098,386.1476370372944,True,19,406.21020174572783,772.2771950115199
19,2020-02-10,466,18.320314856643098,386.1476370372944,True,20,435.50092744758643,772.2771950115199
20,2020-02-11,487,18.320314856643098,386.1476370372944,True,21,464.22544629100247,772.2771950115199
21,2020-02-12,497,18.320314856643098,386.1476370372944,True,22,492.0764447608176,772.2771950115199
22,2020-02-13,509,18.320314856643098,386.1476370372944,True,23,518.784569237289,772.2771950115199
23,2020-02-14,523,18.320314856643098,386.1476370372944,True,24,544.1274491117335,772.2771950115199
24,2020-02-15,532,18.320314856643098,386.1476370372944,True,25,567.9348479277445,772.2771950115199
25,2020-02-16,537,18.320314856643098,386.1476370372944,True,26,590.0899653637927,772.2771950115199
26,2020-02-17,541,18.320314856643098,386.1476370372944,True,27,610.5273431426366,772.2771950115199
27,2020-02-18,543,18.320314856643098,386.1476370372944,True,28,629.2281170198569,772.2771950115199
28,2020-02-19,544,18.320314856643098,386.1476370372944,True,29,646.213486244228,772.2771950115199
29,2020-02-20,546,18.320314856643098,386.1476370372944,True,30,661.5372587225386,772.2771950115199
30,2020-02-21,749,18.320314856643098,386.1476370372944,True,31,675.2782141610428,772.2771950115199
31,2020-02-22,750,18.320314856643098,386.1476370372944,True,32,687.5328551659189,772.2771950115199
32,2020-02-23,754,18.320314856643098,386.1476370372944,True,33,698.4089291309573,772.2771950115199
33,2020-02-24,755,18.320314856643098,386.1476370372944,True,34,708.0199317222238,772.2771950115199
34,2020-02-25,756,18.320314856643098,386.1476370372944,True,35,716.4806629619318,772.2771950115199
35,2020-02-26,756,18.320314856643098,386.1476370372944,True,36,723.903805332607,772.2771950115199
36,2020-02-27,756,18.320314856643098,386.1476370372944,True,37,730.3974282612199,772.2771950115199
37,2020-02-28,756,18.320314856643098,386.1476370372944,True,38,736.0632887857053,772.2771950115199
38,2020-02-29,756,18.320314856643098,386.1476370372944,True,39,740.9957865514999,772.2771950115199
39,2020-03-01,758,18.320314856643098,386.1476370372944,True,40,745.2814351406763,772.2771950115199
40,2020-03-02,758,18.320314856643098,386.1476370372944,True,41,748.9987248704676,772.2771950115199
41,2020-03-03,758,18.320314856643098,386.1476370372944,True,42,752.2182698785172,772.2771950115199
42,2020-03-04,758,18.320314856643098,386.1476370372944,True,43,755.0031512584223,772.2771950115199
43,2020-03-05,758,18.320314856643098,386.1476370372944,True,44,757.4093861588234,772.2771950115199
44,2020-03-06,758,18.320314856643098,386.1476370372944,True,45,759.4864689752432,772.2771950115199
45,2020-03-07,758,18.320314856643098,386.1476370372944,True,46,761.2779445551087,772.2771950115199
46,2020-03-08,758,18.320314856643098,386.1476370372944,True,47,762.8219846275013,772.2771950115199
47,2020-03-09,758,18.320314856643098,386.1476370372944,True,48,764.1519476267287,772.2771950115199
48,2020-03-10,758,18.320314856643098,386.1476370372944,True,49,765.2969089899638,772.2771950115199
49,2020-03-11,760,18.320314856643098,386.1476370372944,True,50,766.2821542030401,772.2771950115199
50,2020-03-12,760,18.320314856643098,386.1476370372944,True,51,767.1296306688726,772.2771950115199
51,2020-03-13,760,18.320314856643098,386.1476370372944,True,52,767.8583571732167,772.2771950115199
52,2020-03-14,760,18.320314856643098,386.1476370372944,True,53,768.4847915745524,772.2771950115199
53,2020-03-15,760,18.320314856643098,386.1476370372944,True,54,769.0231585571233,772.2771950115199
54,2020-03-16,760,18.320314856643098,386.1476370372944,True,55,769.4857400259206,772.2771950115199
55,2020-03-17,761,18.320314856643098,386.1476370372944,True,56,769.8831311209459,772.2771950115199
56,2020-03-18,761,18.320314856643098,386.1476370372944,True,57,770.2244649863468,772.2771950115199
57,2020-03-19,761,18.320314856643098,386.1476370372944,True,58,770.517609424178,772.2771950115199
58,2020-03-20,762,18.320314856643098,386.1476370372944,True,59,770.7693384491452,772.2771950115199
59,2020-03-21,764,18.320314856643098,386.1476370372944,True,60,770.9854815808819,772.2771950115199
60,2020-03-22,767,18.320314856643098,386.1476370372944,True,61,771.1710534936321,772.2771950115199
61,2020-03-23,768,18.320314856643098,386.1476370372944,True,62,771.3303664101827,772.2771950115199
62,2020-03-24,768,18.320314856643098,386.1476370372944,True,63,771.4671273916105,772.2771950115199
63,2020-03-25,769,18.320314856643098,386.1476370372944,True,64,771.5845224460123,772.2771950115199
64,2020-03-26,771,18.320314856643098,386.1476370372944,True,65,771.685289163643,772.2771950115199
65,2020-03-27,772,18.320314856643098,386.1476370372944,True,66,771.771779385989,772.2771950115199
66,2020-03-28,772,18.320314856643098,386.1476370372944,True,67,771.8460132338163,772.2771950115199
67,2020-03-29,772,18.320314856643098,386.1476370372944,True,68,771.9097256544721,772.2771950115199
68,2020-03-30,773,18.320314856643098,386.1476370372944,True,69,771.9644065012906,772.2771950115199
69,2020-03-31,774,18.320314856643098,386.1476370372944,True,70,772.0113350269635,772.2771950115199
70,2020-04-01,774,18.320314856643098,386.1476370372944,True,71,772.0516095570048,772.2771950115199
71,2020-04-02,775,18.320314856643098,386.1476370372944,True,72,772.0861730076757,772.2771950115199
72,2020-04-03,778,18.320314856643098,386.1476370372944,True,73,772.1158348235939,772.2771950115199
73,2020-04-04,778,18.320314856643098,386.1476370372944,True,74,772.141289832415,772.2771950115199
74,2020-04-05,779,18.320314856643098,386.1476370372944,True,75,772.1631344461899,772.2771950115199
75,2020-04-06,780,18.320314856643098,386.1476370372944,True,76,772.1818805801041,772.2771950115199
76,2020-04-07,781,18.320314856643098,386.1476370372944,True,77,772.197967608222,772.2771950115199
77,2020-04-08,783,18.320314856643098,386.1476370372944,True,78,772.2117726316291,772.2771950115199
