,Report_Date,Canada_recovered_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,107.62212076726733,9.287002128089901e-05,False,1,5.2580277100114674e-09,1.2726621592667377e-08
1,2020-01-23,0,107.62212076726733,9.287002128089901e-05,False,2,5.8006622025819094e-09,1.2726621592667377e-08
2,2020-01-24,0,107.62212076726733,9.287002128089901e-05,False,3,6.399295267949552e-09,1.2726621592667377e-08
3,2020-01-25,0,107.62212076726733,9.287002128089901e-05,False,4,7.059705405178416e-09,1.2726621592667377e-08
4,2020-01-26,0,107.62212076726733,9.287002128089901e-05,False,5,7.78826730640758e-09,1.2726621592667377e-08
5,2020-01-27,0,107.62212076726733,9.287002128089901e-05,False,6,8.592013348974478e-09,1.2726621592667377e-08
6,2020-01-28,0,107.62212076726733,9.287002128089901e-05,False,7,9.478701425632697e-09,1.2726621592667377e-08
7,2020-01-29,0,107.62212076726733,9.287002128089901e-05,False,8,1.0456889765212425e-08,1.2726621592667377e-08
8,2020-01-30,0,107.62212076726733,9.287002128089901e-05,False,9,1.1536019463012666e-08,1.2726621592667377e-08
9,2020-01-31,0,107.62212076726733,9.287002128089901e-05,False,10,1.2726505513980672e-08,1.2726621592667377e-08
10,2020-02-01,0,107.62212076726733,9.287002128089901e-05,False,11,1.4039837223011843e-08,1.2726621592667377e-08
11,2020-02-02,0,107.62212076726733,9.287002128089901e-05,False,12,1.548868895624622e-08,1.2726621592667377e-08
12,2020-02-03,0,107.62212076726733,9.287002128089901e-05,False,13,1.7087042295871454e-08,1.2726621592667377e-08
13,2020-02-04,0,107.62212076726733,9.287002128089901e-05,False,14,1.8850320769572985e-08,1.2726621592667377e-08
14,2020-02-05,0,107.62212076726733,9.287002128089901e-05,False,15,2.079553844539183e-08,1.2726621592667377e-08
15,2020-02-06,0,107.62212076726733,9.287002128089901e-05,False,16,2.2941463814444968e-08,1.2726621592667377e-08
16,2020-02-07,0,107.62212076726733,9.287002128089901e-05,False,17,2.5308800528920934e-08,1.2726621592667377e-08
17,2020-02-08,0,107.62212076726733,9.287002128089901e-05,False,18,2.7920386722280547e-08,1.2726621592667377e-08
18,2020-02-09,0,107.62212076726733,9.287002128089901e-05,False,19,3.0801414814086805e-08,1.2726621592667377e-08
19,2020-02-10,0,107.62212076726733,9.287002128089901e-05,False,20,3.3979673894901786e-08,1.2726621592667377e-08
20,2020-02-11,0,107.62212076726733,9.287002128089901e-05,False,21,3.74858169989021e-08,1.2726621592667377e-08
21,2020-02-12,0,107.62212076726733,9.287002128089901e-05,False,22,4.135365580510455e-08,1.2726621592667377e-08
22,2020-02-13,0,107.62212076726733,9.287002128089901e-05,False,23,4.562048556433947e-08,1.2726621592667377e-08
23,2020-02-14,0,107.62212076726733,9.287002128089901e-05,False,24,5.032744333050742e-08,1.2726621592667377e-08
24,2020-02-15,0,107.62212076726733,9.287002128089901e-05,False,25,5.551990288351887e-08,1.2726621592667377e-08
25,2020-02-16,0,107.62212076726733,9.287002128089901e-05,False,26,6.124791007014392e-08,1.2726621592667377e-08
26,2020-02-17,0,107.62212076726733,9.287002128089901e-05,False,27,6.75666626604674e-08,1.2726621592667377e-08
27,2020-02-18,0,107.62212076726733,9.287002128089901e-05,False,28,7.45370392246221e-08,1.2726621592667377e-08
28,2020-02-19,0,107.62212076726733,9.287002128089901e-05,False,29,8.222618198001559e-08,1.2726621592667377e-08
29,2020-02-20,0,107.62212076726733,9.287002128089901e-05,False,30,9.07081390466123e-08,1.2726621592667377e-08
30,2020-02-21,0,107.62212076726733,9.287002128089901e-05,False,31,1.0006457208040176e-07,1.2726621592667377e-08
31,2020-02-22,0,107.62212076726733,9.287002128089901e-05,False,32,1.1038553583655073e-07,1.2726621592667377e-08
32,2020-02-23,0,107.62212076726733,9.287002128089901e-05,False,33,1.2177033684761567e-07,1.2726621592667377e-08
33,2020-02-24,0,107.62212076726733,9.287002128089901e-05,False,34,1.3432847909239901e-07,1.2726621592667377e-08
34,2020-02-25,0,107.62212076726733,9.287002128089901e-05,False,35,1.481807052814332e-07,1.2726621592667377e-08
35,2020-02-26,0,107.62212076726733,9.287002128089901e-05,False,36,1.6346014319952774e-07,1.2726621592667377e-08
36,2020-02-27,0,107.62212076726733,9.287002128089901e-05,False,37,1.8031356742806578e-07,1.2726621592667377e-08
37,2020-02-28,0,107.62212076726733,9.287002128089901e-05,False,38,1.9890278772332724e-07,1.2726621592667377e-08
38,2020-02-29,0,107.62212076726733,9.287002128089901e-05,False,39,2.1940617635521923e-07,1.2726621592667377e-08
39,2020-03-01,0,107.62212076726733,9.287002128089901e-05,False,40,2.4202034781603226e-07,1.2726621592667377e-08
40,2020-03-02,0,107.62212076726733,9.287002128089901e-05,False,41,2.669620054930464e-07,1.2726621592667377e-08
41,2020-03-03,0,107.62212076726733,9.287002128089901e-05,False,42,2.944699711627386e-07,1.2726621592667377e-08
42,2020-03-04,0,107.62212076726733,9.287002128089901e-05,False,43,3.2480741450727474e-07,1.2726621592667377e-08
43,2020-03-05,0,107.62212076726733,9.287002128089901e-05,False,44,3.582643012732998e-07,1.2726621592667377e-08
44,2020-03-06,0,107.62212076726733,9.287002128089901e-05,False,45,3.9516008018364783e-07,1.2726621592667377e-08
45,2020-03-07,0,107.62212076726733,9.287002128089901e-05,False,46,4.35846630266233e-07,1.2726621592667377e-08
46,2020-03-08,0,107.62212076726733,9.287002128089901e-05,False,47,4.80711491868754e-07,1.2726621592667377e-08
47,2020-03-09,0,107.62212076726733,9.287002128089901e-05,False,48,5.301814062656409e-07,1.2726621592667377e-08
48,2020-03-10,0,107.62212076726733,9.287002128089901e-05,False,49,5.847261904113163e-07,1.2726621592667377e-08
49,2020-03-11,0,107.62212076726733,9.287002128089901e-05,False,50,6.448629750199981e-07,1.2726621592667377e-08
50,2020-03-12,0,107.62212076726733,9.287002128089901e-05,False,51,7.111608357160932e-07,1.2726621592667377e-08
51,2020-03-13,0,107.62212076726733,9.287002128089901e-05,False,52,7.842458484482542e-07,1.2726621592667377e-08
52,2020-03-14,0,107.62212076726733,9.287002128089901e-05,False,53,8.648066016278298e-07,1.2726621592667377e-08
53,2020-03-15,0,107.62212076726733,9.287002128089901e-05,False,54,9.536001984551046e-07,1.2726621592667377e-08
54,2020-03-16,0,107.62212076726733,9.287002128089901e-05,False,55,1.0514587835304172e-06,1.2726621592667377e-08
55,2020-03-17,0,107.62212076726733,9.287002128089901e-05,False,56,1.1592966279835526e-06,1.2726621592667377e-08
56,2020-03-18,0,107.62212076726733,9.287002128089901e-05,False,57,1.278117806836514e-06,1.2726621592667377e-08
57,2020-03-19,0,107.62212076726733,9.287002128089901e-05,False,58,1.4090245009507182e-06,1.2726621592667377e-08
58,2020-03-20,0,107.62212076726733,9.287002128089901e-05,False,59,1.5532259534690358e-06,1.2726621592667377e-08
59,2020-03-21,0,107.62212076726733,9.287002128089901e-05,False,60,1.7120481068692537e-06,1.2726621592667377e-08
60,2020-03-22,0,107.62212076726733,9.287002128089901e-05,False,61,1.8869439412692762e-06,1.2726621592667377e-08
61,2020-03-23,0,107.62212076726733,9.287002128089901e-05,False,62,2.0795045270770065e-06,1.2726621592667377e-08
62,2020-03-24,0,107.62212076726733,9.287002128089901e-05,False,63,2.2914707950041166e-06,1.2726621592667377e-08
63,2020-03-25,0,107.62212076726733,9.287002128089901e-05,False,64,2.5247460133346526e-06,1.2726621592667377e-08
64,2020-03-26,0,107.62212076726733,9.287002128089901e-05,False,65,2.7814089455499343e-06,1.2726621592667377e-08
65,2020-03-27,0,107.62212076726733,9.287002128089901e-05,False,66,3.0637276402718327e-06,1.2726621592667377e-08
66,2020-03-28,0,107.62212076726733,9.287002128089901e-05,False,67,3.374173779226396e-06,1.2726621592667377e-08
67,2020-03-29,0,107.62212076726733,9.287002128089901e-05,False,68,3.7154374767002066e-06,1.2726621592667377e-08
68,2020-03-30,0,107.62212076726733,9.287002128089901e-05,False,69,4.090442384847798e-06,1.2726621592667377e-08
69,2020-03-31,0,107.62212076726733,9.287002128089901e-05,False,70,4.502360912249499e-06,1.2726621592667377e-08
70,2020-04-01,0,107.62212076726733,9.287002128089901e-05,False,71,4.954629307343524e-06,1.2726621592667377e-08
71,2020-04-02,0,107.62212076726733,9.287002128089901e-05,False,72,5.450962292831724e-06,1.2726621592667377e-08
72,2020-04-03,0,107.62212076726733,9.287002128089901e-05,False,73,5.995366861065533e-06,1.2726621592667377e-08
73,2020-04-04,0,107.62212076726733,9.287002128089901e-05,False,74,6.592154753149373e-06,1.2726621592667377e-08
74,2020-04-05,0,107.62212076726733,9.287002128089901e-05,False,75,7.2459530457905625e-06,1.2726621592667377e-08
75,2020-04-06,0,107.62212076726733,9.287002128089901e-05,False,76,7.961712160030018e-06,1.2726621592667377e-08
76,2020-04-07,0,107.62212076726733,9.287002128089901e-05,False,77,8.744710485889908e-06,1.2726621592667377e-08
77,2020-04-08,0,107.62212076726733,9.287002128089901e-05,False,78,9.600554688644923e-06,1.2726621592667377e-08
