,Report_Date,China_jilin_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,14.785818762670958,46.90670047487124,True,1,1.0564463553996661,93.8134009452688
1,2020-01-23,1,14.785818762670958,46.90670047487124,True,2,1.4553051757184472,93.8134009452688
2,2020-01-24,3,14.785818762670958,46.90670047487124,True,3,2.0015028180452656,93.8134009452688
3,2020-01-25,4,14.785818762670958,46.90670047487124,True,4,2.7466002499344087,93.8134009452688
4,2020-01-26,4,14.785818762670958,46.90670047487124,True,5,3.757721743652425,93.8134009452688
5,2020-01-27,6,14.785818762670958,46.90670047487124,True,6,5.1201448418065265,93.8134009452688
6,2020-01-28,8,14.785818762670958,46.90670047487124,True,7,6.9384780078228925,93.8134009452688
7,2020-01-29,9,14.785818762670958,46.90670047487124,True,8,9.334598997038736,93.8134009452688
8,2020-01-30,14,14.785818762670958,46.90670047487124,True,9,12.439705400042552,93.8134009452688
9,2020-01-31,14,14.785818762670958,46.90670047487124,True,10,16.377466980352914,93.8134009452688
10,2020-02-01,17,14.785818762670958,46.90670047487124,True,11,21.23641698161073,93.8134009452688
11,2020-02-02,23,14.785818762670958,46.90670047487124,True,12,27.033675342396936,93.8134009452688
12,2020-02-03,31,14.785818762670958,46.90670047487124,True,13,33.679119334473455,93.8134009452688
13,2020-02-04,42,14.785818762670958,46.90670047487124,True,14,40.95626598597313,93.8134009452688
14,2020-02-05,54,14.785818762670958,46.90670047487124,True,15,48.53666769153745,93.8134009452688
15,2020-02-06,59,14.785818762670958,46.90670047487124,True,16,56.032776318402306,93.8134009452688
16,2020-02-07,65,14.785818762670958,46.90670047487124,True,17,63.07381771472643,93.8134009452688
17,2020-02-08,69,14.785818762670958,46.90670047487124,True,18,69.37496126809842,93.8134009452688
18,2020-02-09,78,14.785818762670958,46.90670047487124,True,19,74.77435227609223,93.8134009452688
19,2020-02-10,80,14.785818762670958,46.90670047487124,True,20,79.23155153650104,93.8134009452688
20,2020-02-11,81,14.785818762670958,46.90670047487124,True,21,82.79898830727011,93.8134009452688
21,2020-02-12,83,14.785818762670958,46.90670047487124,True,22,85.58430191251036,93.8134009452688
22,2020-02-13,84,14.785818762670958,46.90670047487124,True,23,87.71712746558684,93.8134009452688
23,2020-02-14,86,14.785818762670958,46.90670047487124,True,24,89.32614840172812,93.8134009452688
24,2020-02-15,88,14.785818762670958,46.90670047487124,True,25,90.52640592366858,93.8134009452688
25,2020-02-16,89,14.785818762670958,46.90670047487124,True,26,91.41423945328593,93.8134009452688
26,2020-02-17,89,14.785818762670958,46.90670047487124,True,27,92.06689135449825,93.8134009452688
27,2020-02-18,89,14.785818762670958,46.90670047487124,True,28,92.54446468786118,93.8134009452688
28,2020-02-19,90,14.785818762670958,46.90670047487124,True,29,92.89275411624843,93.8134009452688
29,2020-02-20,91,14.785818762670958,46.90670047487124,True,30,93.14613658036413,93.8134009452688
30,2020-02-21,91,14.785818762670958,46.90670047487124,True,31,93.33014535036521,93.8134009452688
31,2020-02-22,91,14.785818762670958,46.90670047487124,True,32,93.46360133417491,93.8134009452688
32,2020-02-23,91,14.785818762670958,46.90670047487124,True,33,93.56030202754413,93.8134009452688
33,2020-02-24,93,14.785818762670958,46.90670047487124,True,34,93.6303225683096,93.8134009452688
34,2020-02-25,93,14.785818762670958,46.90670047487124,True,35,93.68099913959428,93.8134009452688
35,2020-02-26,93,14.785818762670958,46.90670047487124,True,36,93.71766264759948,93.8134009452688
36,2020-02-27,93,14.785818762670958,46.90670047487124,True,37,93.7441811311955,93.8134009452688
37,2020-02-28,93,14.785818762670958,46.90670047487124,True,38,93.76335820126809,93.8134009452688
38,2020-02-29,93,14.785818762670958,46.90670047487124,True,39,93.77722439212958,93.8134009452688
39,2020-03-01,93,14.785818762670958,46.90670047487124,True,40,93.78724951453052,93.8134009452688
40,2020-03-02,93,14.785818762670958,46.90670047487124,True,41,93.79449706974188,93.8134009452688
41,2020-03-03,93,14.785818762670958,46.90670047487124,True,42,93.79973634498565,93.8134009452688
42,2020-03-04,93,14.785818762670958,46.90670047487124,True,43,93.80352369002307,93.8134009452688
43,2020-03-05,93,14.785818762670958,46.90670047487124,True,44,93.80626139689697,93.8134009452688
44,2020-03-06,93,14.785818762670958,46.90670047487124,True,45,93.80824032787564,93.8134009452688
45,2020-03-07,93,14.785818762670958,46.90670047487124,True,46,93.80967076342642,93.8134009452688
46,2020-03-08,93,14.785818762670958,46.90670047487124,True,47,93.81070471826085,93.8134009452688
47,2020-03-09,93,14.785818762670958,46.90670047487124,True,48,93.81145208140798,93.8134009452688
48,2020-03-10,93,14.785818762670958,46.90670047487124,True,49,93.81199228753233,93.8134009452688
49,2020-03-11,93,14.785818762670958,46.90670047487124,True,50,93.81238275573736,93.8134009452688
50,2020-03-12,93,14.785818762670958,46.90670047487124,True,51,93.81266499059734,93.8134009452688
51,2020-03-13,93,14.785818762670958,46.90670047487124,True,52,93.81286899275895,93.8134009452688
52,2020-03-14,93,14.785818762670958,46.90670047487124,True,53,93.81301644733684,93.8134009452688
53,2020-03-15,93,14.785818762670958,46.90670047487124,True,54,93.81312302870731,93.8134009452688
54,2020-03-16,93,14.785818762670958,46.90670047487124,True,55,93.81320006653256,93.8134009452688
55,2020-03-17,93,14.785818762670958,46.90670047487124,True,56,93.81325575002839,93.8134009452688
56,2020-03-18,93,14.785818762670958,46.90670047487124,True,57,93.81329599844511,93.8134009452688
57,2020-03-19,93,14.785818762670958,46.90670047487124,True,58,93.81332509027142,93.8134009452688
