,Report_Date,Georgia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,82.6401572024894,276.44819015573694,False,1,0.11175790094010765,552.8963799802061
1,2020-01-23,0,82.6401572024894,276.44819015573694,False,2,0.12402788516881157,552.8963799802061
2,2020-01-24,0,82.6401572024894,276.44819015573694,False,3,0.13764466478091486,552.8963799802061
3,2020-01-25,0,82.6401572024894,276.44819015573694,False,4,0.15275599094389478,552.8963799802061
4,2020-01-26,0,82.6401572024894,276.44819015573694,False,5,0.1695258059799667,552.8963799802061
5,2020-01-27,0,82.6401572024894,276.44819015573694,False,6,0.18813601348873296,552.8963799802061
6,2020-01-28,0,82.6401572024894,276.44819015573694,False,7,0.20878844102551486,552.8963799802061
7,2020-01-29,0,82.6401572024894,276.44819015573694,False,8,0.2317070160577678,552.8963799802061
8,2020-01-30,0,82.6401572024894,276.44819015573694,False,9,0.25714017809995793,552.8963799802061
9,2020-01-31,0,82.6401572024894,276.44819015573694,False,10,0.28536355232194754,552.8963799802061
10,2020-02-01,0,82.6401572024894,276.44819015573694,False,11,0.31668291255593245,552.8963799802061
11,2020-02-02,0,82.6401572024894,276.44819015573694,False,12,0.3514374645118063,552.8963799802061
12,2020-02-03,0,82.6401572024894,276.44819015573694,False,13,0.3900034831707062,552.8963799802061
13,2020-02-04,0,82.6401572024894,276.44819015573694,False,14,0.43279834178207816,552.8963799802061
14,2020-02-05,0,82.6401572024894,276.44819015573694,False,15,0.48028497366165857,552.8963799802061
15,2020-02-06,0,82.6401572024894,276.44819015573694,False,16,0.5329768120967111,552.8963799802061
16,2020-02-07,0,82.6401572024894,276.44819015573694,False,17,0.5914432581300689,552.8963799802061
17,2020-02-08,0,82.6401572024894,276.44819015573694,False,18,0.6563157308336313,552.8963799802061
18,2020-02-09,0,82.6401572024894,276.44819015573694,False,19,0.7282943599095985,552.8963799802061
19,2020-02-10,0,82.6401572024894,276.44819015573694,False,20,0.8081553860843609,552.8963799802061
20,2020-02-11,0,82.6401572024894,276.44819015573694,False,21,0.8967593407899563,552.8963799802061
21,2020-02-12,0,82.6401572024894,276.44819015573694,False,22,0.9950600830575611,552.8963799802061
22,2020-02-13,0,82.6401572024894,276.44819015573694,False,23,1.104114778361754,552.8963799802061
23,2020-02-14,0,82.6401572024894,276.44819015573694,False,24,1.2250949113239873,552.8963799802061
24,2020-02-15,0,82.6401572024894,276.44819015573694,False,25,1.3592984316608046,552.8963799802061
25,2020-02-16,0,82.6401572024894,276.44819015573694,False,26,1.5081631404748344,552.8963799802061
26,2020-02-17,0,82.6401572024894,276.44819015573694,False,27,1.67328143183188,552.8963799802061
27,2020-02-18,0,82.6401572024894,276.44819015573694,False,28,1.8564165124047367,552.8963799802061
28,2020-02-19,0,82.6401572024894,276.44819015573694,False,29,2.059520229604749,552.8963799802061
29,2020-02-20,0,82.6401572024894,276.44819015573694,False,30,2.2847526458174343,552.8963799802061
30,2020-02-21,0,82.6401572024894,276.44819015573694,False,31,2.534503502787112,552.8963799802061
31,2020-02-22,0,82.6401572024894,276.44819015573694,False,32,2.8114157254462855,552.8963799802061
32,2020-02-23,0,82.6401572024894,276.44819015573694,False,33,3.1184111180383263,552.8963799802061
33,2020-02-24,0,82.6401572024894,276.44819015573694,False,34,3.4587184065848233,552.8963799802061
34,2020-02-25,0,82.6401572024894,276.44819015573694,False,35,3.835903779792175,552.8963799802061
35,2020-02-26,1,82.6401572024894,276.44819015573694,False,36,4.253904074377794,552.8963799802061
36,2020-02-27,1,82.6401572024894,276.44819015573694,False,37,4.7170627393054065,552.8963799802061
37,2020-02-28,1,82.6401572024894,276.44819015573694,False,38,5.230168695073046,552.8963799802061
38,2020-02-29,1,82.6401572024894,276.44819015573694,False,39,5.798498177218784,552.8963799802061
39,2020-03-01,3,82.6401572024894,276.44819015573694,False,40,6.427859615478911,552.8963799802061
40,2020-03-02,3,82.6401572024894,276.44819015573694,False,41,7.124641549049228,552.8963799802061
41,2020-03-03,3,82.6401572024894,276.44819015573694,False,42,7.895863511237754,552.8963799802061
42,2020-03-04,3,82.6401572024894,276.44819015573694,False,43,8.749229730080959,552.8963799802061
43,2020-03-05,4,82.6401572024894,276.44819015573694,False,44,9.693185381379372,552.8963799802061
44,2020-03-06,4,82.6401572024894,276.44819015573694,False,45,10.73697499278609,552.8963799802061
45,2020-03-07,4,82.6401572024894,276.44819015573694,False,46,11.890702427327259,552.8963799802061
46,2020-03-08,13,82.6401572024894,276.44819015573694,False,47,13.165391666995697,552.8963799802061
47,2020-03-09,15,82.6401572024894,276.44819015573694,False,48,14.573047366627264,552.8963799802061
48,2020-03-10,15,82.6401572024894,276.44819015573694,False,49,16.126713850037483,552.8963799802061
49,2020-03-11,24,82.6401572024894,276.44819015573694,False,50,17.840530869747298,552.8963799802061
50,2020-03-12,24,82.6401572024894,276.44819015573694,False,51,19.729784044992503,552.8963799802061
51,2020-03-13,25,82.6401572024894,276.44819015573694,False,52,21.810947428316908,552.8963799802061
52,2020-03-14,30,82.6401572024894,276.44819015573694,False,53,24.101715129905227,552.8963799802061
53,2020-03-15,33,82.6401572024894,276.44819015573694,False,54,26.62101835598046,552.8963799802061
54,2020-03-16,33,82.6401572024894,276.44819015573694,False,55,29.389023603731278,552.8963799802061
55,2020-03-17,34,82.6401572024894,276.44819015573694,False,56,32.42710711845434,552.8963799802061
56,2020-03-18,38,82.6401572024894,276.44819015573694,False,57,35.75780008652454,552.8963799802061
57,2020-03-19,40,82.6401572024894,276.44819015573694,False,58,39.40469844980996,552.8963799802061
58,2020-03-20,43,82.6401572024894,276.44819015573694,False,59,43.39233073648469,552.8963799802061
59,2020-03-21,49,82.6401572024894,276.44819015573694,False,60,47.74597697877379,552.8963799802061
60,2020-03-22,54,82.6401572024894,276.44819015573694,False,61,52.4914317154913,552.8963799802061
61,2020-03-23,61,82.6401572024894,276.44819015573694,False,62,57.65470435789175,552.8963799802061
62,2020-03-24,70,82.6401572024894,276.44819015573694,False,63,63.26165094630627,552.8963799802061
63,2020-03-25,75,82.6401572024894,276.44819015573694,False,64,69.3375326648156,552.8963799802061
