,Report_Date,Iceland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.56196568265652,914.9957232954471,True,1,0.021755139414682573,1786.1843394138216
1,2020-01-23,0,66.56196568265652,914.9957232954471,True,2,0.025862998209497563,1786.1843394138216
2,2020-01-24,0,66.56196568265652,914.9957232954471,True,3,0.03074649994720895,1786.1843394138216
3,2020-01-25,0,66.56196568265652,914.9957232954471,True,4,0.03655209558418916,1786.1843394138216
4,2020-01-26,0,66.56196568265652,914.9957232954471,True,5,0.04345388559799677,1786.1843394138216
5,2020-01-27,0,66.56196568265652,914.9957232954471,True,6,0.051658839217780035,1786.1843394138216
6,2020-01-28,0,66.56196568265652,914.9957232954471,True,7,0.0614129984765257,1786.1843394138216
7,2020-01-29,0,66.56196568265652,914.9957232954471,True,8,0.07300885275501476,1786.1843394138216
8,2020-01-30,0,66.56196568265652,914.9957232954471,True,9,0.08679410442697515,1786.1843394138216
9,2020-01-31,0,66.56196568265652,914.9957232954471,True,10,0.10318208770266453,1786.1843394138216
10,2020-02-01,0,66.56196568265652,914.9957232954471,True,11,0.12266415202003683,1786.1843394138216
11,2020-02-02,0,66.56196568265652,914.9957232954471,True,12,0.1458243797860215,1786.1843394138216
12,2020-02-03,0,66.56196568265652,914.9957232954471,True,13,0.17335707762205935,1786.1843394138216
13,2020-02-04,0,66.56196568265652,914.9957232954471,True,14,0.2060875625183035,1786.1843394138216
14,2020-02-05,0,66.56196568265652,914.9957232954471,True,15,0.24499686180425362,1786.1843394138216
15,2020-02-06,0,66.56196568265652,914.9957232954471,True,16,0.29125106136563456,1786.1843394138216
16,2020-02-07,0,66.56196568265652,914.9957232954471,True,17,0.3462361733186776,1786.1843394138216
17,2020-02-08,0,66.56196568265652,914.9957232954471,True,18,0.4115995561795504,1786.1843394138216
18,2020-02-09,0,66.56196568265652,914.9957232954471,True,19,0.48929911184544606,1786.1843394138216
19,2020-02-10,0,66.56196568265652,914.9957232954471,True,20,0.5816617095414488,1786.1843394138216
20,2020-02-11,0,66.56196568265652,914.9957232954471,True,21,0.6914525531681129,1786.1843394138216
21,2020-02-12,0,66.56196568265652,914.9957232954471,True,22,0.8219575219414238,1786.1843394138216
22,2020-02-13,0,66.56196568265652,914.9957232954471,True,23,0.9770808824835938,1786.1843394138216
23,2020-02-14,0,66.56196568265652,914.9957232954471,True,24,1.161461202155418,1786.1843394138216
24,2020-02-15,0,66.56196568265652,914.9957232954471,True,25,1.3806087978586639,1786.1843394138216
25,2020-02-16,0,66.56196568265652,914.9957232954471,True,26,1.6410686419767122,1786.1843394138216
26,2020-02-17,0,66.56196568265652,914.9957232954471,True,27,1.950613328247392,1786.1843394138216
27,2020-02-18,0,66.56196568265652,914.9957232954471,True,28,2.318471485862487,1786.1843394138216
28,2020-02-19,0,66.56196568265652,914.9957232954471,True,29,2.7555979298604014,1786.1843394138216
29,2020-02-20,0,66.56196568265652,914.9957232954471,True,30,3.274992857770632,1786.1843394138216
30,2020-02-21,0,66.56196568265652,914.9957232954471,True,31,3.892078550369369,1786.1843394138216
31,2020-02-22,0,66.56196568265652,914.9957232954471,True,32,4.625143305400868,1786.1843394138216
32,2020-02-23,0,66.56196568265652,914.9957232954471,True,33,5.4958637133511665,1786.1843394138216
33,2020-02-24,0,66.56196568265652,914.9957232954471,True,34,6.529917843093098,1786.1843394138216
34,2020-02-25,0,66.56196568265652,914.9957232954471,True,35,7.757703386467414,1786.1843394138216
35,2020-02-26,0,66.56196568265652,914.9957232954471,True,36,9.215176221751287,1786.1843394138216
36,2020-02-27,0,66.56196568265652,914.9957232954471,True,37,10.944826050820595,1786.1843394138216
37,2020-02-28,1,66.56196568265652,914.9957232954471,True,38,12.996806523779016,1786.1843394138216
38,2020-02-29,1,66.56196568265652,914.9957232954471,True,39,15.430237265717231,1786.1843394138216
39,2020-03-01,3,66.56196568265652,914.9957232954471,True,40,18.31469400245818,1786.1843394138216
40,2020-03-02,6,66.56196568265652,914.9957232954471,True,41,21.731899901833135,1786.1843394138216
41,2020-03-03,11,66.56196568265652,914.9957232954471,True,42,25.777625424350827,1786.1843394138216
42,2020-03-04,26,66.56196568265652,914.9957232954471,True,43,30.563794238153225,1786.1843394138216
43,2020-03-05,34,66.56196568265652,914.9957232954471,True,44,36.220777574378126,1786.1843394138216
44,2020-03-06,43,66.56196568265652,914.9957232954471,True,45,42.89983686935342,1786.1843394138216
45,2020-03-07,50,66.56196568265652,914.9957232954471,True,46,50.77564236751698,1786.1843394138216
46,2020-03-08,50,66.56196568265652,914.9957232954471,True,47,60.048750967428944,1786.1843394138216
47,2020-03-09,58,66.56196568265652,914.9957232954471,True,48,70.94786737785262,1786.1843394138216
48,2020-03-10,69,66.56196568265652,914.9957232954471,True,49,83.73163649097927,1786.1843394138216
49,2020-03-11,85,66.56196568265652,914.9957232954471,True,50,98.68962103591001,1786.1843394138216
50,2020-03-12,103,66.56196568265652,914.9957232954471,True,51,116.1420091085294,1786.1843394138216
51,2020-03-13,134,66.56196568265652,914.9957232954471,True,52,136.4374779931288,1786.1843394138216
52,2020-03-14,156,66.56196568265652,914.9957232954471,True,53,159.94852820830525,1786.1843394138216
53,2020-03-15,171,66.56196568265652,914.9957232954471,True,54,187.06351979075177,1786.1843394138216
54,2020-03-16,180,66.56196568265652,914.9957232954471,True,55,218.17462922000684,1786.1843394138216
55,2020-03-17,220,66.56196568265652,914.9957232954471,True,56,253.6610510169511,1786.1843394138216
