,Report_Date,Canada_nova scotia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.76481412624842,377.0949282633042,False,1,0.008712844246676482,754.1898565266083
1,2020-01-23,0,79.76481412624842,377.0949282633042,False,2,0.010065687710374981,754.1898565266083
2,2020-01-24,0,79.76481412624842,377.0949282633042,False,3,0.011628583961217983,754.1898565266083
3,2020-01-25,0,79.76481412624842,377.0949282633042,False,4,0.013434146312037478,754.1898565266083
4,2020-01-26,0,79.76481412624842,377.0949282633042,False,5,0.015520051336193424,754.1898565266083
5,2020-01-27,0,79.76481412624842,377.0949282633042,False,6,0.017929824824178188,754.1898565266083
6,2020-01-28,0,79.76481412624842,377.0949282633042,False,7,0.020713749701576432,754.1898565266083
7,2020-01-29,0,79.76481412624842,377.0949282633042,False,8,0.02392991482022324,754.1898565266083
8,2020-01-30,0,79.76481412624842,377.0949282633042,False,9,0.02764542646240277,754.1898565266083
9,2020-01-31,0,79.76481412624842,377.0949282633042,False,10,0.03193780777772919,754.1898565266083
10,2020-02-01,0,79.76481412624842,377.0949282633042,False,11,0.03689661527315319,754.1898565266083
11,2020-02-02,0,79.76481412624842,377.0949282633042,False,12,0.04262530597797274,754.1898565266083
12,2020-02-03,0,79.76481412624842,377.0949282633042,False,13,0.049243394099369675,754.1898565266083
13,2020-02-04,0,79.76481412624842,377.0949282633042,False,14,0.05688894197506824,754.1898565266083
14,2020-02-05,0,79.76481412624842,377.0949282633042,False,15,0.06572143703903557,754.1898565266083
15,2020-02-06,0,79.76481412624842,377.0949282633042,False,16,0.07592511448228074,754.1898565266083
16,2020-02-07,0,79.76481412624842,377.0949282633042,False,17,0.08771279447250821,754.1898565266083
17,2020-02-08,0,79.76481412624842,377.0949282633042,False,18,0.10133031337524889,754.1898565266083
18,2020-02-09,0,79.76481412624842,377.0949282633042,False,19,0.11706164060255905,754.1898565266083
19,2020-02-10,0,79.76481412624842,377.0949282633042,False,20,0.13523478673990866,754.1898565266083
20,2020-02-11,0,79.76481412624842,377.0949282633042,False,21,0.15622862473642876,754.1898565266083
21,2020-02-12,0,79.76481412624842,377.0949282633042,False,22,0.18048076449334233,754.1898565266083
22,2020-02-13,0,79.76481412624842,377.0949282633042,False,23,0.20849664249511923,754.1898565266083
