,Report_Date,France_french polynesia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,65.66614621947753,26.025484797190693,True,1,0.0006202494447397652,51.03402084503743
1,2020-01-23,0,65.66614621947753,26.025484797190693,True,2,0.0007391083826395193,51.03402084503743
2,2020-01-24,0,65.66614621947753,26.025484797190693,True,3,0.0008807439762669509,51.03402084503743
3,2020-01-25,0,65.66614621947753,26.025484797190693,True,4,0.0010495207001512841,51.03402084503743
4,2020-01-26,0,65.66614621947753,26.025484797190693,True,5,0.0012506392837044948,51.03402084503743
5,2020-01-27,0,65.66614621947753,26.025484797190693,True,6,0.0014902969132384865,51.03402084503743
6,2020-01-28,0,65.66614621947753,26.025484797190693,True,7,0.0017758781120204119,51.03402084503743
7,2020-01-29,0,65.66614621947753,26.025484797190693,True,8,0.002116182168050155,51.03402084503743
8,2020-01-30,0,65.66614621947753,26.025484797190693,True,9,0.0025216941001854278,51.03402084503743
9,2020-01-31,0,65.66614621947753,26.025484797190693,True,10,0.003004907487359798,51.03402084503743
10,2020-02-01,0,65.66614621947753,26.025484797190693,True,11,0.003580709073104595,51.03402084503743
11,2020-02-02,0,65.66614621947753,26.025484797190693,True,12,0.004266836945975074,51.03402084503743
12,2020-02-03,0,65.66614621947753,26.025484797190693,True,13,0.005084426342082163,51.03402084503743
13,2020-02-04,0,65.66614621947753,26.025484797190693,True,14,0.006058659785240372,51.03402084503743
14,2020-02-05,0,65.66614621947753,26.025484797190693,True,15,0.007219541451679575,51.03402084503743
15,2020-02-06,0,65.66614621947753,26.025484797190693,True,16,0.00860281941211847,51.03402084503743
16,2020-02-07,0,65.66614621947753,26.025484797190693,True,17,0.01025108387258137,51.03402084503743
17,2020-02-08,0,65.66614621947753,26.025484797190693,True,18,0.012215074833400171,51.03402084503743
18,2020-02-09,0,65.66614621947753,26.025484797190693,True,19,0.01455523886109884,51.03402084503743
19,2020-02-10,0,65.66614621947753,26.025484797190693,True,20,0.017343582091645514,51.03402084503743
20,2020-02-11,0,65.66614621947753,26.025484797190693,True,21,0.020665875353409295,51.03402084503743
21,2020-02-12,0,65.66614621947753,26.025484797190693,True,22,0.024624277640065362,51.03402084503743
22,2020-02-13,0,65.66614621947753,26.025484797190693,True,23,0.029340456333671248,51.03402084503743
23,2020-02-14,0,65.66614621947753,26.025484797190693,True,24,0.03495929686250245,51.03402084503743
24,2020-02-15,0,65.66614621947753,26.025484797190693,True,25,0.0416533111916922,51.03402084503743
25,2020-02-16,0,65.66614621947753,26.025484797190693,True,26,0.049627874024955464,51.03402084503743
26,2020-02-17,0,65.66614621947753,26.025484797190693,True,27,0.059127438192555434,51.03402084503743
27,2020-02-18,0,65.66614621947753,26.025484797190693,True,28,0.07044290675729707,51.03402084503743
28,2020-02-19,0,65.66614621947753,26.025484797190693,True,29,0.08392036919206346,51.03402084503743
