,Report_Date,Haiti_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.97205426626343,21.804269535526913,True,1,0.0005084614017876806,38.41306162235598
1,2020-01-23,0,74.97205426626343,21.804269535526913,True,2,0.0005928552451446302,38.41306162235598
2,2020-01-24,0,74.97205426626343,21.804269535526913,True,3,0.0006912564602930941,38.41306162235598
3,2020-01-25,0,74.97205426626343,21.804269535526913,True,4,0.0008059898581426937,38.41306162235598
4,2020-01-26,0,74.97205426626343,21.804269535526913,True,5,0.0009397660710027283,38.41306162235598
5,2020-01-27,0,74.97205426626343,21.804269535526913,True,6,0.0010957455724847321,38.41306162235598
6,2020-01-28,0,74.97205426626343,21.804269535526913,True,7,0.0012776133166110342,38.41306162235598
7,2020-01-29,0,74.97205426626343,21.804269535526913,True,8,0.001489665756240812,38.41306162235598
8,2020-01-30,0,74.97205426626343,21.804269535526913,True,9,0.0017369122921804384,38.41306162235598
9,2020-01-31,0,74.97205426626343,21.804269535526913,True,10,0.0020251935436233336,38.41306162235598
10,2020-02-01,0,74.97205426626343,21.804269535526913,True,11,0.002361319225722067,38.41306162235598
11,2020-02-02,0,74.97205426626343,21.804269535526913,True,12,0.002753228880250886,38.41306162235598
12,2020-02-03,0,74.97205426626343,21.804269535526913,True,13,0.003210179241046387,38.41306162235598
13,2020-02-04,0,74.97205426626343,21.804269535526913,True,14,0.0037429626394733175,38.41306162235598
14,2020-02-05,0,74.97205426626343,21.804269535526913,True,15,0.004364161580737703,38.41306162235598
15,2020-02-06,0,74.97205426626343,21.804269535526913,True,16,0.005088445465861183,38.41306162235598
16,2020-02-07,0,74.97205426626343,21.804269535526913,True,17,0.0059329164154703,38.41306162235598
17,2020-02-08,0,74.97205426626343,21.804269535526913,True,18,0.006917512292057513,38.41306162235598
18,2020-02-09,0,74.97205426626343,21.804269535526913,True,19,0.008065476342120913,38.41306162235598
19,2020-02-10,0,74.97205426626343,21.804269535526913,True,20,0.009403904417356874,38.41306162235598
20,2020-02-11,0,74.97205426626343,21.804269535526913,True,21,0.010964382517761556,38.41306162235598
21,2020-02-12,0,74.97205426626343,21.804269535526913,True,22,0.012783729466571631,38.41306162235598
22,2020-02-13,0,74.97205426626343,21.804269535526913,True,23,0.014904861919949395,38.41306162235598
23,2020-02-14,0,74.97205426626343,21.804269535526913,True,24,0.0173778016811393,38.41306162235598
24,2020-02-15,0,74.97205426626343,21.804269535526913,True,25,0.02026084848320884,38.41306162235598
25,2020-02-16,0,74.97205426626343,21.804269535526913,True,26,0.023621945086105177,38.41306162235598
26,2020-02-17,0,74.97205426626343,21.804269535526913,True,27,0.027540265768173047,38.41306162235598
27,2020-02-18,0,74.97205426626343,21.804269535526913,True,28,0.03210806415051333,38.41306162235598
28,2020-02-19,0,74.97205426626343,21.804269535526913,True,29,0.03743282185010569,38.41306162235598
29,2020-02-20,0,74.97205426626343,21.804269535526913,True,30,0.04363974579261473,38.41306162235598
30,2020-02-21,0,74.97205426626343,21.804269535526913,True,31,0.050874669206048585,38.41306162235598
31,2020-02-22,0,74.97205426626343,21.804269535526913,True,32,0.05930741943474972,38.41306162235598
32,2020-02-23,0,74.97205426626343,21.804269535526913,True,33,0.06913572482041491,38.41306162235598
33,2020-02-24,0,74.97205426626343,21.804269535526913,True,34,0.08058974303168749,38.41306162235598
34,2020-02-25,0,74.97205426626343,21.804269535526913,True,35,0.09393730438841888,38.41306162235598
35,2020-02-26,0,74.97205426626343,21.804269535526913,True,36,0.10948997586599045,38.41306162235598
36,2020-02-27,0,74.97205426626343,21.804269535526913,True,37,0.12761006443882708,38.41306162235598
37,2020-02-28,0,74.97205426626343,21.804269535526913,True,38,0.1487186919660959,38.41306162235598
38,2020-02-29,0,74.97205426626343,21.804269535526913,True,39,0.17330508749587767,38.41306162235598
39,2020-03-01,0,74.97205426626343,21.804269535526913,True,40,0.20193725597982756,38.41306162235598
40,2020-03-02,0,74.97205426626343,21.804269535526913,True,41,0.23527419392293342,38.41306162235598
41,2020-03-03,0,74.97205426626343,21.804269535526913,True,42,0.2740798309581697,38.41306162235598
42,2020-03-04,0,74.97205426626343,21.804269535526913,True,43,0.3192388796368901,38.41306162235598
43,2020-03-05,0,74.97205426626343,21.804269535526913,True,44,0.3717747709602254,38.41306162235598
44,2020-03-06,0,74.97205426626343,21.804269535526913,True,45,0.43286983639935234,38.41306162235598
45,2020-03-07,0,74.97205426626343,21.804269535526913,True,46,0.5038878630939051,38.41306162235598
46,2020-03-08,0,74.97205426626343,21.804269535526913,True,47,0.5863990906647799,38.41306162235598
47,2020-03-09,0,74.97205426626343,21.804269535526913,True,48,0.68220762673445,38.41306162235598
48,2020-03-10,0,74.97205426626343,21.804269535526913,True,49,0.7933811226188451,38.41306162235598
49,2020-03-11,0,74.97205426626343,21.804269535526913,True,50,0.9222823570213654,38.41306162235598
50,2020-03-12,0,74.97205426626343,21.804269535526913,True,51,1.071602107675974,38.41306162235598
51,2020-03-13,0,74.97205426626343,21.804269535526913,True,52,1.2443923303881204,38.41306162235598
52,2020-03-14,0,74.97205426626343,21.804269535526913,True,53,1.4440981924367176,38.41306162235598
53,2020-03-15,0,74.97205426626343,21.804269535526913,True,54,1.674586904663429,38.41306162235598
54,2020-03-16,0,74.97205426626343,21.804269535526913,True,55,1.9401705506850726,38.41306162235598
55,2020-03-17,0,74.97205426626343,21.804269535526913,True,56,2.2456192205969896,38.41306162235598
56,2020-03-18,0,74.97205426626343,21.804269535526913,True,57,2.596159738556925,38.41306162235598
