,Report_Date,UK_isle of man_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,84.37874698396902,272.1275626701455,False,1,0.006522446429130007,544.2551253391327
1,2020-01-23,0,84.37874698396902,272.1275626701455,False,2,0.00747195484258886,544.2551253391327
2,2020-01-24,0,84.37874698396902,272.1275626701455,False,3,0.00855968624608912,544.2551253391327
3,2020-01-25,0,84.37874698396902,272.1275626701455,False,4,0.0098057615253203,544.2551253391327
4,2020-01-26,0,84.37874698396902,272.1275626701455,False,5,0.011233230317014837,544.2551253391327
5,2020-01-27,0,84.37874698396902,272.1275626701455,False,6,0.012868497245146502,544.2551253391327
6,2020-01-28,0,84.37874698396902,272.1275626701455,False,7,0.014741810168784042,544.2551253391327
7,2020-01-29,0,84.37874698396902,272.1275626701455,False,8,0.01688781945700183,544.2551253391327
8,2020-01-30,0,84.37874698396902,272.1275626701455,False,9,0.019346218614910735,544.2551253391327
9,2020-01-31,0,84.37874698396902,272.1275626701455,False,10,0.02216247808286571,544.2551253391327
10,2020-02-01,0,84.37874698396902,272.1275626701455,False,11,0.02538868574542624,544.2551253391327
11,2020-02-02,0,84.37874698396902,272.1275626701455,False,12,0.029084509648730016,544.2551253391327
12,2020-02-03,0,84.37874698396902,272.1275626701455,False,13,0.03331830066999513,544.2551253391327
13,2020-02-04,0,84.37874698396902,272.1275626701455,False,14,0.0381683554512545,544.2551253391327
14,2020-02-05,0,84.37874698396902,272.1275626701455,False,15,0.04372436284712728,544.2551253391327
15,2020-02-06,0,84.37874698396902,272.1275626701455,False,16,0.050089060495779596,544.2551253391327
16,2020-02-07,0,84.37874698396902,272.1275626701455,False,17,0.057380131962725435,544.2551253391327
17,2020-02-08,0,84.37874698396902,272.1275626701455,False,18,0.06573237929635305,544.2551253391327
18,2020-02-09,0,84.37874698396902,272.1275626701455,False,19,0.0753002108486882,544.2551253391327
19,2020-02-10,0,84.37874698396902,272.1275626701455,False,20,0.08626048994173423,544.2551253391327
20,2020-02-11,0,84.37874698396902,272.1275626701455,False,21,0.09881579649689252,544.2551253391327
21,2020-02-12,0,84.37874698396902,272.1275626701455,False,22,0.11319816120315605,544.2551253391327
22,2020-02-13,0,84.37874698396902,272.1275626701455,False,23,0.1296733403035343,544.2551253391327
23,2020-02-14,0,84.37874698396902,272.1275626701455,False,24,0.14854570876822193,544.2551253391327
24,2020-02-15,0,84.37874698396902,272.1275626701455,False,25,0.17016386065355088,544.2551253391327
25,2020-02-16,0,84.37874698396902,272.1275626701455,False,26,0.19492701799160753,544.2551253391327
26,2020-02-17,0,84.37874698396902,272.1275626701455,False,27,0.22329236380906897,544.2551253391327
27,2020-02-18,0,84.37874698396902,272.1275626701455,False,28,0.2557834310471675,544.2551253391327
28,2020-02-19,0,84.37874698396902,272.1275626701455,False,29,0.2929996974790853,544.2551253391327
29,2020-02-20,0,84.37874698396902,272.1275626701455,False,30,0.3356275574467069,544.2551253391327
30,2020-02-21,0,84.37874698396902,272.1275626701455,False,31,0.3844528646327959,544.2551253391327
31,2020-02-22,0,84.37874698396902,272.1275626701455,False,32,0.4403752664282388,544.2551253391327
32,2020-02-23,0,84.37874698396902,272.1275626701455,False,33,0.5044245800359227,544.2551253391327
33,2020-02-24,0,84.37874698396902,272.1275626701455,False,34,0.5777794935612368,544.2551253391327
34,2020-02-25,0,84.37874698396902,272.1275626701455,False,35,0.6617889122484448,544.2551253391327
35,2020-02-26,0,84.37874698396902,272.1275626701455,False,36,0.7579963109742078,544.2551253391327
36,2020-02-27,0,84.37874698396902,272.1275626701455,False,37,0.8681674992877003,544.2551253391327
37,2020-02-28,0,84.37874698396902,272.1275626701455,False,38,0.9943222547796249,544.2551253391327
38,2020-02-29,0,84.37874698396902,272.1275626701455,False,39,1.138770334314762,544.2551253391327
39,2020-03-01,0,84.37874698396902,272.1275626701455,False,40,1.3041524304091763,544.2551253391327
40,2020-03-02,0,84.37874698396902,272.1275626701455,False,41,1.4934867012105413,544.2551253391327
41,2020-03-03,0,84.37874698396902,272.1275626701455,False,42,1.7102215661710491,544.2551253391327
42,2020-03-04,0,84.37874698396902,272.1275626701455,False,43,1.9582955240443913,544.2551253391327
43,2020-03-05,0,84.37874698396902,272.1275626701455,False,44,2.242204812987458,544.2551253391327
44,2020-03-06,0,84.37874698396902,272.1275626701455,False,45,2.56707979098773,544.2551253391327
45,2020-03-07,0,84.37874698396902,272.1275626701455,False,46,2.9387709639222854,544.2551253391327
46,2020-03-08,0,84.37874698396902,272.1275626701455,False,47,3.363945621908815,544.2551253391327
47,2020-03-09,0,84.37874698396902,272.1275626701455,False,48,3.8501960536361186,544.2551253391327
48,2020-03-10,0,84.37874698396902,272.1275626701455,False,49,4.406160281643832,544.2551253391327
49,2020-03-11,0,84.37874698396902,272.1275626701455,False,50,5.041656184107452,544.2551253391327
50,2020-03-12,0,84.37874698396902,272.1275626701455,False,51,5.767829721261015,544.2551253391327
51,2020-03-13,0,84.37874698396902,272.1275626701455,False,52,6.5973177425527485,544.2551253391327
52,2020-03-14,0,84.37874698396902,272.1275626701455,False,53,7.544425483099754,544.2551253391327
53,2020-03-15,0,84.37874698396902,272.1275626701455,False,54,8.625318326868863,544.2551253391327
54,2020-03-16,0,84.37874698396902,272.1275626701455,False,55,9.858226673108813,544.2551253391327
55,2020-03-17,0,84.37874698396902,272.1275626701455,False,56,11.26366173730112,544.2551253391327
56,2020-03-18,0,84.37874698396902,272.1275626701455,False,57,12.864638785595714,544.2551253391327
