,Report_Date,France_martinique_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.18427407109354,97.76917370005516,True,1,0.002315034623191712,188.88416566895933
1,2020-01-23,0,68.18427407109354,97.76917370005516,True,2,0.0027408624233406288,188.88416566895933
2,2020-01-24,0,68.18427407109354,97.76917370005516,True,3,0.0032450157501640944,188.88416566895933
3,2020-01-25,0,68.18427407109354,97.76917370005516,True,4,0.0038419010509883585,188.88416566895933
4,2020-01-26,0,68.18427407109354,97.76917370005516,True,5,0.004548574347342165,188.88416566895933
5,2020-01-27,0,68.18427407109354,97.76917370005516,True,6,0.005385228449421664,188.88416566895933
6,2020-01-28,0,68.18427407109354,97.76917370005516,True,7,0.006375769727680169,188.88416566895933
7,2020-01-29,0,68.18427407109354,97.76917370005516,True,8,0.0075485008898496945,188.88416566895933
8,2020-01-30,0,68.18427407109354,97.76917370005516,True,9,0.008936929227177948,188.88416566895933
9,2020-01-31,0,68.18427407109354,97.76917370005516,True,10,0.01058072335977312,188.88416566895933
10,2020-02-01,0,68.18427407109354,97.76917370005516,True,11,0.01252684572735168,188.88416566895933
11,2020-02-02,0,68.18427407109354,97.76917370005516,True,12,0.014830893055724098,188.88416566895933
12,2020-02-03,0,68.18427407109354,97.76917370005516,True,13,0.017558682919046418,188.88416566895933
13,2020-02-04,0,68.18427407109354,97.76917370005516,True,14,0.020788131475337045,188.88416566895933
14,2020-02-05,0,68.18427407109354,97.76917370005516,True,15,0.024611475668167054,188.88416566895933
15,2020-02-06,0,68.18427407109354,97.76917370005516,True,16,0.02913790288341256,188.88416566895933
16,2020-02-07,0,68.18427407109354,97.76917370005516,True,17,0.034496662486588926,188.88416566895933
17,2020-02-08,0,68.18427407109354,97.76917370005516,True,18,0.04084074714658207,188.88416566895933
18,2020-02-09,0,68.18427407109354,97.76917370005516,True,19,0.04835124772744091,188.88416566895933
19,2020-02-10,0,68.18427407109354,97.76917370005516,True,20,0.05724250420831155,188.88416566895933
20,2020-02-11,0,68.18427407109354,97.76917370005516,True,21,0.0677681970410406,188.88416566895933
21,2020-02-12,0,68.18427407109354,97.76917370005516,True,22,0.08022854911133383,188.88416566895933
22,2020-02-13,0,68.18427407109354,97.76917370005516,True,23,0.09497883864088874,188.88416566895933
23,2020-02-14,0,68.18427407109354,97.76917370005516,True,24,0.1124394586382248,188.88416566895933
24,2020-02-15,0,68.18427407109354,97.76917370005516,True,25,0.1331077996333948,188.88416566895933
25,2020-02-16,0,68.18427407109354,97.76917370005516,True,26,0.15757228024325415,188.88416566895933
26,2020-02-17,0,68.18427407109354,97.76917370005516,True,27,0.1865289054896836,188.88416566895933
27,2020-02-18,0,68.18427407109354,97.76917370005516,True,28,0.22080079663795038,188.88416566895933
28,2020-02-19,0,68.18427407109354,97.76917370005516,True,29,0.261361209517101,188.88416566895933
29,2020-02-20,0,68.18427407109354,97.76917370005516,True,30,0.30936064160820004,188.88416566895933
30,2020-02-21,0,68.18427407109354,97.76917370005516,True,31,0.36615872219790785,188.88416566895933
31,2020-02-22,0,68.18427407109354,97.76917370005516,True,32,0.4333616847542231,188.88416566895933
32,2020-02-23,0,68.18427407109354,97.76917370005516,True,33,0.5128663358894167,188.88416566895933
33,2020-02-24,0,68.18427407109354,97.76917370005516,True,34,0.6069115593014133,188.88416566895933
34,2020-02-25,0,68.18427407109354,97.76917370005516,True,35,0.7181385228381307,188.88416566895933
35,2020-02-26,0,68.18427407109354,97.76917370005516,True,36,0.8496608869227914,188.88416566895933
36,2020-02-27,0,68.18427407109354,97.76917370005516,True,37,1.0051464343187262,188.88416566895933
37,2020-02-28,0,68.18427407109354,97.76917370005516,True,38,1.18891164123325,188.88416566895933
38,2020-02-29,0,68.18427407109354,97.76917370005516,True,39,1.4060307682056667,188.88416566895933
39,2020-03-01,0,68.18427407109354,97.76917370005516,True,40,1.6624610373829922,188.88416566895933
40,2020-03-02,0,68.18427407109354,97.76917370005516,True,41,1.965185340090115,188.88416566895933
41,2020-03-03,0,68.18427407109354,97.76917370005516,True,42,2.322373628941123,188.88416566895933
42,2020-03-04,0,68.18427407109354,97.76917370005516,True,43,2.743563616163511,188.88416566895933
43,2020-03-05,0,68.18427407109354,97.76917370005516,True,44,3.239860523850181,188.88416566895933
44,2020-03-06,0,68.18427407109354,97.76917370005516,True,45,3.824154283110043,188.88416566895933
45,2020-03-07,2,68.18427407109354,97.76917370005516,True,46,4.511350596234297,188.88416566895933
46,2020-03-08,2,68.18427407109354,97.76917370005516,True,47,5.318609466377932,188.88416566895933
47,2020-03-09,2,68.18427407109354,97.76917370005516,True,48,6.265580946495007,188.88416566895933
48,2020-03-10,2,68.18427407109354,97.76917370005516,True,49,7.374622743151452,188.88416566895933
49,2020-03-11,3,68.18427407109354,97.76917370005516,True,50,8.67097774696553,188.88416566895933
50,2020-03-12,3,68.18427407109354,97.76917370005516,True,51,10.182881470169955,188.88416566895933
51,2020-03-13,3,68.18427407109354,97.76917370005516,True,52,11.94155988729389,188.88416566895933
52,2020-03-14,9,68.18427407109354,97.76917370005516,True,53,13.98106780283933,188.88416566895933
53,2020-03-15,9,68.18427407109354,97.76917370005516,True,54,16.337907693927146,188.88416566895933
54,2020-03-16,15,68.18427407109354,97.76917370005516,True,55,19.05036089511882,188.88416566895933
55,2020-03-17,16,68.18427407109354,97.76917370005516,True,56,22.1574599332673,188.88416566895933
56,2020-03-18,19,68.18427407109354,97.76917370005516,True,57,25.697536815398276,188.88416566895933
