,Report_Date,UK_british virgin islands_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,83.61127997160742,3.7212689356505035,False,1,0.008141977535751469,0.023213301065716466
1,2020-01-23,0,83.61127997160742,3.7212689356505035,False,2,0.00884149561209506,0.023213301065716466
2,2020-01-24,0,83.61127997160742,3.7212689356505035,False,3,0.009601035176475634,0.023213301065716466
3,2020-01-25,0,83.61127997160742,3.7212689356505035,False,4,0.010425732410380709,0.023213301065716466
4,2020-01-26,0,83.61127997160742,3.7212689356505035,False,5,0.011321160519754665,0.023213301065716466
5,2020-01-27,0,83.61127997160742,3.7212689356505035,False,6,0.012293366473980459,0.023213301065716466
6,2020-01-28,0,83.61127997160742,3.7212689356505035,False,7,0.01334891075324114,0.023213301065716466
7,2020-01-29,0,83.61127997160742,3.7212689356505035,False,8,0.014494910336126422,0.023213301065716466
8,2020-01-30,0,83.61127997160742,3.7212689356505035,False,9,0.015739085174558437,0.023213301065716466
9,2020-01-31,0,83.61127997160742,3.7212689356505035,False,10,0.01708980841880388,0.023213301065716466
10,2020-02-01,0,83.61127997160742,3.7212689356505035,False,11,0.01855616067141784,0.023213301065716466
11,2020-02-02,0,83.61127997160742,3.7212689356505035,False,12,0.02014798856529718,0.023213301065716466
12,2020-02-03,0,83.61127997160742,3.7212689356505035,False,13,0.021875967977438612,0.023213301065716466
13,2020-02-04,0,83.61127997160742,3.7212689356505035,False,14,0.023751672206284897,0.023213301065716466
14,2020-02-05,0,83.61127997160742,3.7212689356505035,False,15,0.025787645456431422,0.023213301065716466
15,2020-02-06,0,83.61127997160742,3.7212689356505035,False,16,0.027997481989623256,0.023213301065716466
16,2020-02-07,0,83.61127997160742,3.7212689356505035,False,17,0.030395911314988668,0.023213301065716466
17,2020-02-08,0,83.61127997160742,3.7212689356505035,False,18,0.03299888980383245,0.023213301065716466
18,2020-02-09,0,83.61127997160742,3.7212689356505035,False,19,0.03582369912444792,0.023213301065716466
19,2020-02-10,0,83.61127997160742,3.7212689356505035,False,20,0.03888905189957707,0.023213301065716466
20,2020-02-11,0,83.61127997160742,3.7212689356505035,False,21,0.042215204992489305,0.023213301065716466
21,2020-02-12,0,83.61127997160742,3.7212689356505035,False,22,0.04582408082613443,0.023213301065716466
22,2020-02-13,0,83.61127997160742,3.7212689356505035,False,23,0.04973939713224065,0.023213301065716466
23,2020-02-14,0,83.61127997160742,3.7212689356505035,False,24,0.053986805512148336,0.023213301065716466
24,2020-02-15,0,83.61127997160742,3.7212689356505035,False,25,0.05859403916692293,0.023213301065716466
25,2020-02-16,0,83.61127997160742,3.7212689356505035,False,26,0.06359107011893685,0.023213301065716466
26,2020-02-17,0,83.61127997160742,3.7212689356505035,False,27,0.06901027619839531,0.023213301065716466
27,2020-02-18,0,83.61127997160742,3.7212689356505035,False,28,0.07488661800361687,0.023213301065716466
28,2020-02-19,0,83.61127997160742,3.7212689356505035,False,29,0.08125782596029403,0.023213301065716466
29,2020-02-20,0,83.61127997160742,3.7212689356505035,False,30,0.08816459749907421,0.023213301065716466
30,2020-02-21,0,83.61127997160742,3.7212689356505035,False,31,0.09565080423879417,0.023213301065716466
31,2020-02-22,0,83.61127997160742,3.7212689356505035,False,32,0.10376370890028246,0.023213301065716466
32,2020-02-23,0,83.61127997160742,3.7212689356505035,False,33,0.1125541914780366,0.023213301065716466
33,2020-02-24,0,83.61127997160742,3.7212689356505035,False,34,0.12207698395902215,0.023213301065716466
34,2020-02-25,0,83.61127997160742,3.7212689356505035,False,35,0.13239091259358512,0.023213301065716466
35,2020-02-26,0,83.61127997160742,3.7212689356505035,False,36,0.1435591463868379,0.023213301065716466
36,2020-02-27,0,83.61127997160742,3.7212689356505035,False,37,0.15564945008333045,0.023213301065716466
37,2020-02-28,0,83.61127997160742,3.7212689356505035,False,38,0.16873443945655767,0.023213301065716466
38,2020-02-29,0,83.61127997160742,3.7212689356505035,False,39,0.1828918361810153,0.023213301065716466
39,2020-03-01,0,83.61127997160742,3.7212689356505035,False,40,0.1982047189514019,0.023213301065716466
40,2020-03-02,0,83.61127997160742,3.7212689356505035,False,41,0.2147617668149724,0.023213301065716466
41,2020-03-03,0,83.61127997160742,3.7212689356505035,False,42,0.23265748989371823,0.023213301065716466
42,2020-03-04,0,83.61127997160742,3.7212689356505035,False,43,0.25199244178921115,0.023213301065716466
43,2020-03-05,0,83.61127997160742,3.7212689356505035,False,44,0.27287340698304824,0.023213301065716466
44,2020-03-06,0,83.61127997160742,3.7212689356505035,False,45,0.2954135554713821,0.023213301065716466
45,2020-03-07,0,83.61127997160742,3.7212689356505035,False,46,0.3197325557086737,0.023213301065716466
46,2020-03-08,0,83.61127997160742,3.7212689356505035,False,47,0.34595663569459056,0.023213301065716466
47,2020-03-09,0,83.61127997160742,3.7212689356505035,False,48,0.3742185807367421,0.023213301065716466
48,2020-03-10,0,83.61127997160742,3.7212689356505035,False,49,0.4046576550869922,0.023213301065716466
49,2020-03-11,0,83.61127997160742,3.7212689356505035,False,50,0.43741943331692223,0.023213301065716466
50,2020-03-12,0,83.61127997160742,3.7212689356505035,False,51,0.4726555260171802,0.023213301065716466
51,2020-03-13,0,83.61127997160742,3.7212689356505035,False,52,0.5105231832383917,0.023213301065716466
52,2020-03-14,0,83.61127997160742,3.7212689356505035,False,53,0.551184758116004,0.023213301065716466
53,2020-03-15,0,83.61127997160742,3.7212689356505035,False,54,0.5948070124326394,0.023213301065716466
