,Report_Date,Ecuador_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,73.65436226662926,3267.131327406625,True,1,0.07639697307719852,5906.909824187896
1,2020-01-23,0,73.65436226662926,3267.131327406625,True,2,0.08932230762668024,5906.909824187896
2,2020-01-24,0,73.65436226662926,3267.131327406625,True,3,0.1044343990113743,5906.909824187896
3,2020-01-25,0,73.65436226662926,3267.131327406625,True,4,0.12210319817119536,5906.909824187896
4,2020-01-26,0,73.65436226662926,3267.131327406625,True,5,0.14276123886363906,5906.909824187896
5,2020-01-27,0,73.65436226662926,3267.131327406625,True,6,0.16691422276986245,5906.909824187896
6,2020-01-28,0,73.65436226662926,3267.131327406625,True,7,0.19515339430593873,5906.909824187896
7,2020-01-29,0,73.65436226662926,3267.131327406625,True,8,0.22817000750578684,5906.909824187896
8,2020-01-30,0,73.65436226662926,3267.131327406625,True,9,0.26677223834096675,5906.909824187896
9,2020-01-31,0,73.65436226662926,3267.131327406625,True,10,0.31190495541154717,5906.909824187896
10,2020-02-01,0,73.65436226662926,3267.131327406625,True,11,0.36467283151030233,5906.909824187896
11,2020-02-02,0,73.65436226662926,3267.131327406625,True,12,0.42636735979219376,5906.909824187896
12,2020-02-03,0,73.65436226662926,3267.131327406625,True,13,0.49849843310569153,5906.909824187896
13,2020-02-04,0,73.65436226662926,3267.131327406625,True,14,0.5828312557077628,5906.909824187896
14,2020-02-05,0,73.65436226662926,3267.131327406625,True,15,0.6814294856961075,5906.909824187896
15,2020-02-06,0,73.65436226662926,3267.131327406625,True,16,0.7967056570699824,5906.909824187896
16,2020-02-07,0,73.65436226662926,3267.131327406625,True,17,0.931480105868005,5906.909824187896
17,2020-02-08,0,73.65436226662926,3267.131327406625,True,18,1.089049829361244,5906.909824187896
18,2020-02-09,0,73.65436226662926,3267.131327406625,True,19,1.2732689454496398,5906.909824187896
19,2020-02-10,0,73.65436226662926,3267.131327406625,True,20,1.488642696557979,5906.909824187896
20,2020-02-11,0,73.65436226662926,3267.131327406625,True,21,1.7404372645674981,5906.909824187896
21,2020-02-12,0,73.65436226662926,3267.131327406625,True,22,2.034808037622465,5906.909824187896
22,2020-02-13,0,73.65436226662926,3267.131327406625,True,23,2.37894940392976,5906.909824187896
23,2020-02-14,0,73.65436226662926,3267.131327406625,True,24,2.7812696508477877,5906.909824187896
24,2020-02-15,0,73.65436226662926,3267.131327406625,True,25,3.2515951296288783,5906.909824187896
25,2020-02-16,0,73.65436226662926,3267.131327406625,True,26,3.801408518211937,5906.909824187896
26,2020-02-17,0,73.65436226662926,3267.131327406625,True,27,4.444126788586223,5906.909824187896
27,2020-02-18,0,73.65436226662926,3267.131327406625,True,28,5.19542537452383,5906.909824187896
28,2020-02-19,0,73.65436226662926,3267.131327406625,True,29,6.073616053661568,5906.909824187896
29,2020-02-20,0,73.65436226662926,3267.131327406625,True,30,7.100087219027732,5906.909824187896
30,2020-02-21,0,73.65436226662926,3267.131327406625,True,31,8.299816532769869,5906.909824187896
31,2020-02-22,0,73.65436226662926,3267.131327406625,True,32,9.701967441203186,5906.909824187896
32,2020-02-23,0,73.65436226662926,3267.131327406625,True,33,11.340582694506114,5906.909824187896
33,2020-02-24,0,73.65436226662926,3267.131327406625,True,34,13.25538986030441,5906.909824187896
34,2020-02-25,0,73.65436226662926,3267.131327406625,True,35,15.492735843370664,5906.909824187896
