,Report_Date,Afghanistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,83.33291485719894,695.7461222158491,False,1,0.01598270114856108,1391.492244431699
1,2020-01-23,0,83.33291485719894,695.7461222158491,False,2,0.018350488373622107,1391.492244431699
2,2020-01-24,0,83.33291485719894,695.7461222158491,False,3,0.02106905056478219,1391.492244431699
3,2020-01-25,0,83.33291485719894,695.7461222158491,False,4,0.02419035145987948,1391.492244431699
4,2020-01-26,0,83.33291485719894,695.7461222158491,False,5,0.027774052157240395,1391.492244431699
5,2020-01-27,0,83.33291485719894,695.7461222158491,False,6,0.03188865115035753,1391.492244431699
6,2020-01-28,0,83.33291485719894,695.7461222158491,False,7,0.036612793155458505,1391.492244431699
7,2020-01-29,0,83.33291485719894,695.7461222158491,False,8,0.042036771706007114,1391.492244431699
8,2020-01-30,0,83.33291485719894,695.7461222158491,False,9,0.04826425417773653,1391.492244431699
9,2020-01-31,0,83.33291485719894,695.7461222158491,False,10,0.055414262140693504,1391.492244431699
10,2020-02-01,0,83.33291485719894,695.7461222158491,False,11,0.06362344479042267,1391.492244431699
11,2020-02-02,0,83.33291485719894,695.7461222158491,False,12,0.0730486887797279,1391.492244431699
12,2020-02-03,0,83.33291485719894,695.7461222158491,False,13,0.08387011415932744,1391.492244431699
13,2020-02-04,0,83.33291485719894,695.7461222158491,False,14,0.09629451345890598,1391.492244431699
14,2020-02-05,0,83.33291485719894,695.7461222158491,False,15,0.1105592993351236,1391.492244431699
15,2020-02-06,0,83.33291485719894,695.7461222158491,False,16,0.12693703583471905,1391.492244431699
16,2020-02-07,0,83.33291485719894,695.7461222158491,False,17,0.14574063934518497,1391.492244431699
17,2020-02-08,0,83.33291485719894,695.7461222158491,False,18,0.16732934793321402,1391.492244431699
18,2020-02-09,0,83.33291485719894,695.7461222158491,False,19,0.19211557223027492,1391.492244431699
19,2020-02-10,0,83.33291485719894,695.7461222158491,False,20,0.22057275757410916,1391.492244431699
20,2020-02-11,0,83.33291485719894,695.7461222158491,False,21,0.2532444060478634,1391.492244431699
21,2020-02-12,0,83.33291485719894,695.7461222158491,False,22,0.29075442870643853,1391.492244431699
22,2020-02-13,0,83.33291485719894,695.7461222158491,False,23,0.33381902301613847,1391.492244431699
23,2020-02-14,0,83.33291485719894,695.7461222158491,False,24,0.3832602987788772,1391.492244431699
24,2020-02-15,0,83.33291485719894,695.7461222158491,False,25,0.44002190803643737,1391.492244431699
25,2020-02-16,0,83.33291485719894,695.7461222158491,False,26,0.5051869711780588,1391.492244431699
26,2020-02-17,0,83.33291485719894,695.7461222158491,False,27,0.5799986332876428,1391.492244431699
27,2020-02-18,0,83.33291485719894,695.7461222158491,False,28,0.6658836323060076,1391.492244431699
28,2020-02-19,0,83.33291485719894,695.7461222158491,False,29,0.7644793145494289,1391.492244431699
29,2020-02-20,0,83.33291485719894,695.7461222158491,False,30,0.8776645942760304,1391.492244431699
30,2020-02-21,0,83.33291485719894,695.7461222158491,False,31,1.0075954231357906,1391.492244431699
31,2020-02-22,0,83.33291485719894,695.7461222158491,False,32,1.1567454133275,1391.492244431699
32,2020-02-23,0,83.33291485719894,695.7461222158491,False,33,1.3279523459880291,1391.492244431699
33,2020-02-24,1,83.33291485719894,695.7461222158491,False,34,1.5244713946194,1391.492244431699
34,2020-02-25,1,83.33291485719894,695.7461222158491,False,35,1.7500360030309607,1391.492244431699
35,2020-02-26,1,83.33291485719894,695.7461222158491,False,36,2.0089274790392464,1391.492244431699
36,2020-02-27,1,83.33291485719894,695.7461222158491,False,37,2.3060544995303425,1391.492244431699
37,2020-02-28,1,83.33291485719894,695.7461222158491,False,38,2.6470438696340897,1391.492244431699
38,2020-02-29,1,83.33291485719894,695.7461222158491,False,39,3.0383440383901013,1391.492244431699
39,2020-03-01,1,83.33291485719894,695.7461222158491,False,40,3.487343044404149,1391.492244431699
40,2020-03-02,1,83.33291485719894,695.7461222158491,False,41,4.00250274560648,1391.492244431699
41,2020-03-03,1,83.33291485719894,695.7461222158491,False,42,4.593511373953654,1391.492244431699
42,2020-03-04,1,83.33291485719894,695.7461222158491,False,43,5.2714566434941466,1391.492244431699
43,2020-03-05,1,83.33291485719894,695.7461222158491,False,44,6.0490218208284645,1391.492244431699
44,2020-03-06,1,83.33291485719894,695.7461222158491,False,45,6.940707329428387,1391.492244431699
45,2020-03-07,1,83.33291485719894,695.7461222158491,False,46,7.963080587869053,1391.492244431699
46,2020-03-08,4,83.33291485719894,695.7461222158491,False,47,9.135056855305352,1391.492244431699
47,2020-03-09,4,83.33291485719894,695.7461222158491,False,48,10.478213846577102,1391.492244431699
48,2020-03-10,5,83.33291485719894,695.7461222158491,False,49,12.01714274579623,1391.492244431699
49,2020-03-11,7,83.33291485719894,695.7461222158491,False,50,13.779837940985827,1391.492244431699
50,2020-03-12,7,83.33291485719894,695.7461222158491,False,51,15.79812725861559,1391.492244431699
51,2020-03-13,7,83.33291485719894,695.7461222158491,False,52,18.10814361351692,1391.492244431699
52,2020-03-14,11,83.33291485719894,695.7461222158491,False,53,20.750837703895353,1391.492244431699
53,2020-03-15,16,83.33291485719894,695.7461222158491,False,54,23.772529546825954,1391.492244431699
54,2020-03-16,21,83.33291485719894,695.7461222158491,False,55,27.225494115175422,1391.492244431699
55,2020-03-17,22,83.33291485719894,695.7461222158491,False,56,31.168572925170686,1391.492244431699
56,2020-03-18,22,83.33291485719894,695.7461222158491,False,57,35.6677989349208,1391.492244431699
57,2020-03-19,22,83.33291485719894,695.7461222158491,False,58,40.797016333449136,1391.492244431699
58,2020-03-20,24,83.33291485719894,695.7461222158491,False,59,46.63846951368969,1391.492244431699
59,2020-03-21,24,83.33291485719894,695.7461222158491,False,60,53.28332654633521,1391.492244431699
60,2020-03-22,40,83.33291485719894,695.7461222158491,False,61,60.832091690739745,1391.492244431699
61,2020-03-23,40,83.33291485719894,695.7461222158491,False,62,69.39484891571418,1391.492244431699
62,2020-03-24,74,83.33291485719894,695.7461222158491,False,63,79.09126430218666,1391.492244431699
63,2020-03-25,84,83.33291485719894,695.7461222158491,False,64,90.05026014665332,1391.492244431699
64,2020-03-26,94,83.33291485719894,695.7461222158491,False,65,102.4092586467187,1391.492244431699
65,2020-03-27,110,83.33291485719894,695.7461222158491,False,66,116.3128799357552,1391.492244431699
66,2020-03-28,110,83.33291485719894,695.7461222158491,False,67,131.91097044114557,1391.492244431699
67,2020-03-29,120,83.33291485719894,695.7461222158491,False,68,149.35583645812417,1391.492244431699
68,2020-03-30,170,83.33291485719894,695.7461222158491,False,69,168.79856871941078,1391.492244431699
69,2020-03-31,174,83.33291485719894,695.7461222158491,False,70,190.38437150517117,1391.492244431699
70,2020-04-01,237,83.33291485719894,695.7461222158491,False,71,214.24685948553486,1391.492244431699
71,2020-04-02,273,83.33291485719894,695.7461222158491,False,72,240.50136116922363,1391.492244431699
72,2020-04-03,281,83.33291485719894,695.7461222158491,False,73,269.2373714239397,1391.492244431699
73,2020-04-04,299,83.33291485719894,695.7461222158491,False,74,300.5104248462635,1391.492244431699
74,2020-04-05,349,83.33291485719894,695.7461222158491,False,75,334.3338086399799,1391.492244431699
75,2020-04-06,367,83.33291485719894,695.7461222158491,False,76,370.67068254449157,1391.492244431699
